Username,Time,Tweet,Retweets,Likes,Interaction Count
Rich,2023-09-27T21:17:19.000Z,"Now that Dame has been traded to the Bucks, hopefully Blazers FO will address how all of this happened on Media Day on Monday...
@hoopsjock
 @toreyjonesYT
 @crushables59
 @BrookfieldDeuce
 @Dame_Lillard
 @bosnianbeast27
#Dame #Bucks #trade #Blazers #Heat #Raptors #Cronin #ripcityretr",2,16,18
NBACentral,2023-09-27T21:08:36.000Z,"FanDuel has the Bucks as the favourite to win the championship after the Dame trade! 

If you’re looking to bet on the Bucks to win the championship, FanDuel is offering you $250 in bet credits when you bet $5 using our link below 

https://signup.expert/dc/fd/NJ",62,299,361
shark,2023-09-27T21:22:45.000Z,Find out about the Dame trade while taking a exam oh yea NBA szn is back,3,8,11
Roundball Rhettoric,2023-09-27T21:58:15.000Z,"Dynasty reaction re: Dame trade

 Ayton
 Nurkic (no shutdown risk, only injury...I'd target Eubanks)
 Bam (if you dropped him b/c of Dame,  if not)
 Every kid on POR (KMurray/Rupert/JWalker) *and* MIL (MarJon/TyTy/AJackson). Chance to step up
 the next G that MIL gets",2,22,24
jason battle (muse),2023-09-27T22:29:56.000Z,"warriors fans see the Dame trade and then say we can’t make a move like that

y’all really turned into laker fans

i never thought i’d see the day",8,83,91
Torey Jones,2023-09-27T23:52:32.000Z,"The Dame trade now comes down to the bidding war that Joe Cronin can manufacture for Jrue Holiday. If he gets back two 1sts for Holiday, it's okay. If he gets back three 1sts, the Dame trade is a win for Portland.

Holiday made comments about retiring after his contract is up ...",7,142,149
A Black Man,2023-09-27T21:05:00.000Z,the Dame trade news made me realize the NBA season starts in less than a month & suddenly I feel alive again,2,8,10
cheddachaz,2023-09-27T21:13:22.000Z,"There were 2 ways to improve the Pelicans before the Dame trade and there’s still 2 ways to do it now. 

Brandon or Larry w/salary + Picks",3,13,16
Sauce Castillo,2023-09-27T21:36:57.000Z,"My favorite part of the Dame trade: Dame is almost guaranteed to be the ball handler in PnR, so less Giannis at 30ft and more Giannis within 15-20",0,2,12
500,2023-09-27T21:14:38.000Z,Initial shock has worn off and I have a few thoughts on the Dame trade to Milwaukee,3,30,33
𝙃𝙨𝙜𝙫𝙚𝙣𝙨𝙎𝙩𝙖𝙩𝙚𝙊𝙛𝙈𝙞𝙣𝙙,2023-09-27T21:14:16.000Z,"Idrc about the dame trade cuz we were worse than them anyway, i hope harden gets traded tho so we can surpass philly in the standings",1,7,18
Mack Perry,2023-09-27T22:07:54.000Z,This dame trade has everyone in shambles.  I am real interested to see how it works.,1,24,25
Will Manso,2023-09-27T21:23:46.000Z,Only one fan base should be talking smack after the Dame trade. The Bucks. That’s it. They won.,45,514,559
DraftKings Sportsbook,2023-09-27T21:18:16.000Z,Giannis after dropping hints about his future in Milwaukee all summer only for the Bucks to trade for Dame,3,13,16
Lane,2023-09-27T22:57:21.000Z,"Hollywood twitter accounts like 
@TheDunkCentral
 and 
@LegionHoops
 realizing they can’t tweet abt the dame trade no more",0,14,14
Rich Eisen,2023-09-27T20:47:45.000Z,Someone help me here. How can there be tampering when Dame was acquired by trade with assets involving multiple teams?,41,592,633
Robert,2023-09-27T21:28:35.000Z,"National media will be telling us how the Bucks, a team that lost to an 8th seed, shouldn’t have given up those guys in a trade for Dame Lillard. Sorry folks, no one is safe when you soil the bed that badly",3,74,77
Greg Ehrenberg,2023-09-27T20:37:55.000Z,Updated odds to win the East now that the dust is settled from the Dame trade. Who’s overvalued and who’s undervalued?,3,3,16
Sam,2023-09-27T20:41:32.000Z,"Wanna know something crazy about the Bucks? Even after acquiring Dame, they still have the ability to trade two first round picks next summer if they chose to.",4,51,55
Steven Reinert,2023-09-27T22:25:29.000Z,S/O to the Dame trade for cleansing my timeline of Taylor Swift tho. Holy fuck was that shit annoying.,4,45,49
Billy,2023-09-27T20:49:23.000Z,"Dame trade: My take is that it is absolutely hilarious that Dame wanted to live in Miami and now has to live in Wisconsin, that Milwaukee prides their success on defense and size which they just lost in a major way, that Miami is the ultimate loser, and the C’s are a finals lock",0,2,12
Niko,2023-09-27T22:05:06.000Z,2k too slow with the updates I’m bout to make the Dame trade myself and update the rosters,2,8,10
SI,2023-09-27T22:02:54.000Z,The Nuggets can't be slept on despite the Dame Lillard trade. DEN still has a well-balanced team and Jamal Murray in the playoffs has been as good Dame. Giannis vs Jokic would be the difference in that series.,1,15,16
Shane,2023-09-27T21:29:26.000Z,You sending this hours before the Dame trade,0,4,14
GoldenKnight,2023-09-27T23:54:15.000Z,Dame requested a trade & then wrote a Hit Em Up type song for the Blazers when they finally traded him #ThisLeague,4,33,37
Joe Viray,2023-09-27T23:41:41.000Z,Portland not only refusing to trade Dame to the Heat but also trading him to one of the Heat’s fiercest conference rivals is extremely funny to me man lmao. Generational hating.,14,180,194
Mia,2023-09-27T21:31:08.000Z,"one thing i am learning from this Dame trade is that i thought i was kinda low on Deandre Ayton but apparently i’m way higher on him than everyone else? i was under the impression he was like a decent, not-really-young-anymore-but-not-quite-old big, not just out and out garbage",2,6,18
tom tremewan,2023-09-27T21:31:00.000Z,"of all the sources breaking the news about the dame trade, I would have never imagined that the TuneIn Radio app would be how I learned about it",0,3,13
Truth,2023-09-27T21:54:32.000Z,new dame trade video up now! published before HD was ready so 1080p will be live in an hour... Show some love and check it out + drop a like,2,3,15
Andrew Claudio,2023-09-27T22:00:36.000Z,"Last week w/ 
@danfavale
 on 
@HardwoodKnocks
, we discussed the Dame trade saga… 

: https://youtu.be/VfD7oYZSA8c?si=9fp2roa-kEru7phs…",3,5,18
17,2023-09-27T21:58:34.000Z,"Ayton 
Young wing 
3 frps
Pick swap

Would be a solid return i cant lie

I’d much rather have Ayton over pretty much any player that was thrown in Dame trade scenarios 

Hopefully Cronin somehow clutches a good return from Jrue man",0,2,12
Gifted,2023-09-27T21:09:26.000Z,"Hearing people say the Suns are deep, having a bunch of players on a roster that aren’t proven heavy minute rotation guys in the playoffs does NOT = depth to me. Grayson Allen as a spacer is a good fit tho

We’ll see what happens tho, the Dame trade DEFINITELY shakes up the East",5,11,16
Hardwood Knocks,2023-09-27T21:46:28.000Z,"EMERGENCY POD

 Damian Lillard Trade Reaction

—Dame, Bucks, Giannis, etc. (4:19)
—Heat (15:19)
—Raptors (21:38)
—Suns (25:49)
—Blazers, Jrue Holiday, more (33:52)",6,7,13
Mac Morey,2023-09-27T21:25:31.000Z,"WOW. Still shocked by that Dame trade. Landscape of the NBA completely altered today. Emergency pod with 
@TheRonSlay
 coming tomorrow! Tune in! #btb #hesinthebuilding",1,9,10
jake with the hair,2023-09-27T21:19:42.000Z,Big personal win in the Dame trade is Grayson Allen getting the fuck out of Milwaukee which allows me to like the Bucks unconditionally.,0,5,15
TJ,2023-09-27T22:05:36.000Z,Was he part of the Dame trade?,2,43,45
Drew Johnson,2023-09-27T21:33:43.000Z,"I like the Dame trade to the Bucks. Playmaker, shooting, and Giannis! 

…… But I have a 6 year old who thinks this is the greatest move in sports history  His 2 favorite players on the same team!",1,14,15
Cortez P,2023-09-27T20:52:23.000Z,Guess these were some of the assets for the Dame trade ,0,4,14
Mack Perry,2023-09-27T21:01:05.000Z,Every season is different. How many people picked Denver to win the title last season? Cavs aren’t yet a title contender. That’s okay. We on a different timeline. The Dame trade just makes the road tougher. We good for now.,1,24,25
Brian Goins,2023-09-27T22:50:01.000Z,"The Miami Heat are running out of time to add a running mate w/ Jimmy (ain’t getting any younger) and Bam. Should’ve went all-in on Dame. New second apron rules beginning next offseason will limit their potential flexibility to land a star (e.g., aggregating salaries in a trade).",22,99,121
claire de lune,2023-09-27T21:19:02.000Z,an element i haven't seen discussed is that one thing all the owners could probably agree on was that dame's miami or bust trade demand would've set a precedent that behooves none of them---- zero chance that didn't factor into the dame to milwaukee of it all,1,24,25
Matt Movrich,2023-09-27T21:09:30.000Z,"Annnnd cue the NBA Lounge music on 
@WiscoGrant
 Sports Show!! Gotta Love it after the Dame Trade",1,6,17
NYKnicksPodcast,2023-09-27T23:08:02.000Z,"Hey, remember that time the Knicks were in the driver’s seat in a Donovan Mitchell trade?

Hey, remember that time the Heat were in the driver’s seat for a Dame trade?",1,3,14
Ben Detrick,2023-09-27T21:17:16.000Z,"Feels like Bucks concluded that they weren’t top-shelf contenders before public consensus, which is admirable. Think they created as many problems as they solved with Dame trade (if not more) but likelihood of a championship is higher than it was yesterday",0,23,23
Jordan Pagkalinawan,2023-09-27T21:18:15.000Z,"Following the blockbuster Dame trade to the #Bucks, I evaluated four teams who could trade for Jrue Holiday after his move to the #TrailBlazers.

My latest for 
@LastWordHoops
:",3,3,16
Covers,2023-09-27T23:13:30.000Z,"Miami Heat odds to win the NBA Championship at 
@BetMGM
 

Before Dame Lillard trade: +1000

After Dame Lillard trade: +3000",1,7,18
вяуαηт,2023-09-27T22:44:43.000Z,"Well, the good news is that the Dame trade finally done so we don’t have to hear the endless trade rumors we’ve heard all throughout the summer. ",0,5,15
flatcapgoalkeepe,2023-09-27T20:42:40.000Z,"Me not having to deal with Dame trade rumors, speculation, & hot take bullshit artists anymore. #RipCity",0,9,19
Harrison Faigen,2023-09-27T23:09:38.000Z,The smile of a man who knows he's not in Dame trade packages anymore,0,41,41
♛𝓒𝓪𝓶𝓕𝓛♛,2023-09-27T22:56:54.000Z,"Pat Riley never called the Trailblazers back to better their trade offer knowing multiple people became interested in Dame AND the trade offer was underwhelming to begin with, but yea it’s not his fault, okay",0,21,21
